company,femaleboard,yfinanceticker
GN STORE NORD,66.67,GN.CO
PANDORA,57.14,PNDORA.CO
CHR. HANSEN HOLDING,50.0,CHR.CO
COLOPLAST,50.0,COLO-B.CO
GENMAB,50.0,GMAB.CO
ISS,42.86,ISS.CO
VESTAS WIND SYSTEMS,42.86,VWS.CO
DEMANT,40.0,DEMANT.CO
NETCOMPANY GROUP,40.0,NETC.CO
NORDEA BANK,40.0,NDA-DK.CO
CARLSBERG,37.5,CARL-B.CO
DANSKE BANK,37.5,DANSKE.CO
DSV,37.5,DSV.CO
NOVO NORDISK,37.5,NOVO-B.CO
ØRSTED,37.5,ORSTED.CO
BAVARIAN NORDIC,33.33,BAVA.CO
FLSMIDTH & CO.,33.33,FLS.CO
JYSKE BANK,33.33,JYSK.CO
NOVOZYMES,33.33,NZYM-B.CO
ROCKWOOL,33.33,ROCK-B.CO
ROYAL UNIBREW,33.33,RBREW.CO
TRYG,33.33,TRYG.CO
A. P. MØLLER - MÆRSK,28.57,MAERSK-A.CO
A. P. MØLLER - MÆRSK,28.57,MAERSK-B.CO
AMBU,28.57,AMBU-B.CO
OMX COPENHAGEN 25 INDEX,40.0,^OMXC25
